Row Labels,Average of Moistness score,Average of Flavour Score,
1,2.240625,2.9375,2.5890625
2,2.415625,2.80625,2.6109375
3,2.61875,2.96875,2.79375
4,2.50625,3.0375,2.771875
5,2.325,2.80625,2.565625
Grand Total,2.42125,2.91125,
