Year,Wage,CPI
2000,217.35,322.8908333
2001,305.3416667,239.0391667
2002,388.1,194.495
2003,486.8166667,168.6475
2004,596.525,150.465
2005,737.8333333,138.1591667
2006,862,129.595
2007,1042.916667,123.6608333
2008,1282.25,114.6408333
2009,1381.083333,108.5525
2010,1407.333333,103.32
