Number of cars operating,Miles per week,Passengers per week
72,2632,18764
48,1211,6688
77,2604,16504
91,4039,22944
94,5047,25063
86,5313,20897
99,6916,30357
113,8621,27076
118,8351,28260
133,10089,36683
133,10583,40090
135,10895,39040
137,11309,45350
140,10832,51648
176,11563,58598
186,12128,55163
194,12789,57519
189,14154,52820
187,14649,59219
181,14371,70065
