date,AAPL close,MSFT close
06/08/2010,37.1559,25.55
09/08/2010,37.3929,25.61
10/08/2010,37.0586,25.07
11/08/2010,35.7414,24.86
12/08/2010,35.97,24.49
13/08/2010,35.5857,24.4
16/08/2010,35.3771,24.5
17/08/2010,35.9957,24.71
18/08/2010,36.1529,24.82
19/08/2010,35.6971,24.44
20/08/2010,35.6629,24.23
23/08/2010,35.1143,24.28
24/08/2010,34.2757,24.04
25/08/2010,34.6986,24.1
26/08/2010,34.3257,23.82
27/08/2010,34.5171,23.93
30/08/2010,34.6429,23.64
31/08/2010,34.7286,23.465
01/09/2010,35.7614,23.9
02/09/2010,36.0243,23.94
03/09/2010,36.9671,24.29
07/09/2010,36.83,23.96
08/09/2010,37.56,23.93
09/09/2010,37.5814,24.01
10/09/2010,37.63,23.85
13/09/2010,38.1486,25.11
14/09/2010,38.2943,25.03
15/09/2010,38.6029,25.115
16/09/2010,39.51,25.33
17/09/2010,39.3386,25.22
20/09/2010,40.4614,25.43
21/09/2010,40.5386,25.15
22/09/2010,41.1071,24.61
23/09/2010,41.2743,24.43
24/09/2010,41.76,24.775
27/09/2010,41.5949,24.7325
28/09/2010,40.98,24.6775
29/09/2010,41.0529,24.5
30/09/2010,40.5357,24.49
01/10/2010,40.36,24.38
04/10/2010,39.8057,23.91
05/10/2010,41.2771,24.35
06/10/2010,41.3129,24.43
07/10/2010,41.3171,24.53
08/10/2010,42.01,24.57
11/10/2010,42.1943,24.59
12/10/2010,42.6486,24.83
13/10/2010,42.8771,25.34
14/10/2010,43.1871,25.23
15/10/2010,44.9629,25.54
18/10/2010,45.4286,25.82
19/10/2010,44.2129,25.1
20/10/2010,44.3614,25.31
21/10/2010,44.2171,25.42
22/10/2010,43.9243,25.3775
25/10/2010,44.12,25.19
26/10/2010,44.0071,25.9
27/10/2010,43.9757,26.05
28/10/2010,43.6057,26.28
29/10/2010,42.9971,26.665
01/11/2010,43.4543,26.95
02/11/2010,44.1943,27.39
03/11/2010,44.6857,27.03
04/11/2010,45.4671,27.14
05/11/2010,45.3043,26.85
08/11/2010,45.5171,26.81
09/11/2010,45.1543,26.95
10/11/2010,45.4329,26.94
11/11/2010,45.2364,26.68
12/11/2010,44.0043,26.27
15/11/2010,43.8621,26.2
16/11/2010,43.0843,25.81
17/11/2010,42.9286,25.57
18/11/2010,44.0614,25.8375
19/11/2010,43.8186,25.69
22/11/2010,44.7657,25.73
23/11/2010,44.1043,25.12
24/11/2010,44.9707,25.37
26/11/2010,45,25.25
29/11/2010,45.2671,25.31
30/11/2010,44.45,25.2575
01/12/2010,45.2,26.04
02/12/2010,45.45,26.89
03/12/2010,45.3486,27.02
06/12/2010,45.7357,26.84
07/12/2010,45.4586,26.87
08/12/2010,45.8586,27.23
09/12/2010,45.6796,27.08
10/12/2010,45.7943,27.34
13/12/2010,45.9529,27.245
14/12/2010,45.7557,27.62
15/12/2010,45.7657,27.85
16/12/2010,45.8929,27.9875
17/12/2010,45.8014,27.9025
20/12/2010,46.03,27.81
21/12/2010,46.315,28.07
22/12/2010,46.4514,28.1875
23/12/2010,46.2286,28.3
27/12/2010,46.3829,28.07
28/12/2010,46.4957,28.01
29/12/2010,46.47,27.97
30/12/2010,46.2371,27.85
31/12/2010,46.08,27.91
03/01/2011,47.0814,27.98
04/01/2011,47.3271,28.0875
05/01/2011,47.7143,28
06/01/2011,47.6757,28.82
07/01/2011,48.0171,28.6
10/01/2011,48.9221,28.22
11/01/2011,48.8057,28.11
12/01/2011,49.2029,28.55
13/01/2011,49.3829,28.19
14/01/2011,49.7829,28.3
18/01/2011,48.6643,28.66
19/01/2011,48.4057,28.47
20/01/2011,47.5257,28.3525
21/01/2011,46.6743,28.02
24/01/2011,48.2071,28.38
25/01/2011,48.7714,28.45
26/01/2011,49.1214,28.78
27/01/2011,49.03,28.87
28/01/2011,48.0143,27.751
31/01/2011,48.4743,27.725
01/02/2011,49.29,27.9925
02/02/2011,49.1886,27.94
03/02/2011,49.0629,27.65
04/02/2011,49.5,27.77
07/02/2011,50.2686,28.1975
08/02/2011,50.7429,28.2825
09/02/2011,51.1657,27.97
10/02/2011,50.6486,27.5
11/02/2011,50.9786,27.25
14/02/2011,51.3114,27.23
15/02/2011,51.4143,26.96
16/02/2011,51.8757,27.02
17/02/2011,51.1857,27.21
18/02/2011,50.08,27.06
22/02/2011,48.3729,26.59
23/02/2011,48.9457,26.59
24/02/2011,48.9829,26.77
25/02/2011,49.7371,26.55
28/02/2011,50.4586,26.58
01/03/2011,49.9014,26.16
02/03/2011,50.3029,26.0775
03/03/2011,51.3657,26.2
04/03/2011,51.4286,25.9525
07/03/2011,50.7657,25.72
08/03/2011,50.8229,25.91
09/03/2011,50.3529,25.89
10/03/2011,49.5243,25.41
11/03/2011,50.2843,25.68
14/03/2011,50.5086,25.69
15/03/2011,49.3471,25.39
16/03/2011,47.1443,24.79
17/03/2011,47.8057,24.78
18/03/2011,47.2386,24.8
21/03/2011,48.4714,25.33
22/03/2011,48.7429,25.295
23/03/2011,48.4557,25.54
24/03/2011,49.2814,25.81
25/03/2011,50.22,25.62
28/03/2011,50.0629,25.41
29/03/2011,50.1371,25.49
30/03/2011,49.8043,25.61
31/03/2011,49.7868,25.39
01/04/2011,49.2229,25.48
04/04/2011,48.7414,25.55
05/04/2011,48.4129,25.78
06/04/2011,48.2914,26.15
07/04/2011,48.2971,26.2
08/04/2011,47.8657,26.07
11/04/2011,47.2571,25.98
12/04/2011,47.4857,25.64
13/04/2011,48.0186,25.63
14/04/2011,47.4886,25.42
15/04/2011,46.78,25.37
18/04/2011,47.4071,25.08
19/04/2011,48.2657,25.15
20/04/2011,48.9157,25.76
21/04/2011,50.0994,25.52
25/04/2011,50.4299,25.61
26/04/2011,50.06,26.19
27/04/2011,50.0214,26.38
28/04/2011,49.5357,26.71
29/04/2011,50.0186,25.92
02/05/2011,49.4686,25.66
03/05/2011,49.7429,25.81
04/05/2011,49.9386,26.06
05/05/2011,49.5357,25.79
06/05/2011,49.5229,25.87
09/05/2011,49.6571,25.83
10/05/2011,49.9214,25.67
11/05/2011,49.6043,25.36
12/05/2011,49.51,25.32
13/05/2011,48.6429,25.03
16/05/2011,47.6143,24.57
17/05/2011,48.02,24.52
18/05/2011,48.5529,24.69
19/05/2011,48.6471,24.715
20/05/2011,47.8886,24.49
23/05/2011,47.7714,24.17
24/05/2011,47.4557,24.15
25/05/2011,48.1114,24.19
26/05/2011,47.8571,24.67
27/05/2011,48.2014,24.76
31/05/2011,49.69,25.01
01/06/2011,49.3586,24.43
02/06/2011,49.4431,24.22
03/06/2011,49.0629,23.905
06/06/2011,48.2914,24.01
07/06/2011,47.4343,24.06
08/06/2011,47.4629,23.94
09/06/2011,47.3557,23.96
10/06/2011,46.5571,23.705
13/06/2011,46.6571,24.04
14/06/2011,47.4914,24.22
15/06/2011,46.6786,23.74
16/06/2011,46.4514,23.995
17/06/2011,45.7514,24.26
20/06/2011,45.0457,24.47
21/06/2011,46.4714,24.76
22/06/2011,46.0871,24.65
23/06/2011,47.3186,24.63
24/06/2011,46.6214,24.3
27/06/2011,47.4343,25.2
28/06/2011,47.8943,25.8
29/06/2011,47.72,25.62
30/06/2011,47.9529,26
01/07/2011,49.0371,26.02
05/07/2011,49.9186,26.03
06/07/2011,50.2514,26.33
07/07/2011,51.0286,26.77
08/07/2011,51.3871,26.92
11/07/2011,50.5714,26.63
12/07/2011,50.5357,26.54
13/07/2011,51.1457,26.63
14/07/2011,51.11,26.47
15/07/2011,52.1314,26.78
18/07/2011,53.4,26.59
19/07/2011,53.8357,27.54
20/07/2011,55.2714,27.06
21/07/2011,55.3271,27.095
22/07/2011,56.1857,27.53
25/07/2011,56.9286,27.91
26/07/2011,57.63,28.08
27/07/2011,56.0843,27.33
28/07/2011,55.9743,27.72
29/07/2011,55.7829,27.4
01/08/2011,56.6786,27.27
02/08/2011,55.5586,26.8
03/08/2011,56.0814,26.92
04/08/2011,53.91,25.94
05/08/2011,53.3743,25.68
08/08/2011,50.4586,24.48
09/08/2011,53.43,25.58
10/08/2011,51.9557,24.2
11/08/2011,53.3857,25.19
12/08/2011,53.8557,25.1
15/08/2011,54.7729,25.51
