Year,Quarter,Turnover,Cost of sales
2020,Q2,7624,2449
2020,Q1,9090,3199
2019,Q4,8899,3248
2019,Q3,9385,3245
2019,Q2,7809,2637
2019,Q1,7661,2733
2018,Q4,8197,2904
2018,Q3,8092,2636
2018,Q2,7310,2310
2018,Q1,7222,2391
2017,Q4,7639,2558
2017,Q3,7843,2652
2017,Q2,7320,2619
2017,Q1,7384,2513
2016,Q4,7586,2508
2016,Q3,7542,2525
2016,Q2,7320,2619
